Site,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Group,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC5,5,0,0.35,0.175,2,0,0,378.59,30.7,1.23,121.023,0.066,0.103,0.086,136.064,1.801,0.892,2.177,0.775,0.816,0.237,23.754,264.26,98.419,1127.537,1853.787,419.932
MSC6,6,0,0.32,0.16,2,0,0,367.52,30.8,1.42,113.079,0.026,0.054,0.031,82.887,3.242,0.863,2.436,0.91,0.588,0.448,40.429,430.77,110.664,2465.517,3724.995,508.946
MSC6,6,0.32,0.53,0.425,2,0,0,296.28,32.9,1.57,141.886,0.014,0.047,0.027,198.626,7.297,1.283,2.328,0.692,0.969,0.466,65.209,531.509,52.184,3067.181,4747.255,781.187
MSC7,7,0,0.24,0.12,2,0,0,344.71,24.5,1.14,37.331,0.025,0.053,0.013,18.828,1.168,0.222,0.561,0.59,0.358,0.246,31.14,248.534,55.841,1229.613,1963.368,282.328
MSC7,7,0.24,0.6,0.42,2,0,0,346.68,31,1.19,78.304,0.083,0.08,0.024,74.33,1.996,0.45,0.453,0.254,0.703,0.376,20.144,227.738,25.806,1341.254,1935.227,525.126
MSC8,8,0,0.28,0.14,2,0,0,414.51,28.7,1.23,57.514,0.023,0.042,0.012,32.009,0.526,0.135,0.194,0.35,0.127,0.229,6.804,132.938,26.506,824.864,930.689,294.97
MSC9,9,0,0.25,0.125,2,0,0.53,604.81,29.3,1.16,19.103,0.048,0.011,0.056,2.268,0.98,0.097,0.18,0.518,0.053,0.291,30.186,191.801,41.936,1114.449,1578.034,218.63
MSC9,9,0.25,0.5,0.375,2,0,11.03,7168.02,33.1,1.13,335.264,0.089,0.012,0.009,136.229,3.989,13.646,7.068,0.685,12.392,0.946,83.452,269.164,56.904,1342.978,1857.434,1024.163
MSC10,10,0,0.18,0.09,2,0,0.15,375.47,24,1.07,20.211,0.005,0.013,0.004,20.346,2.851,0.148,0.363,0.674,0.064,0.252,133.47,346.023,84.009,1900.324,2977.064,400.547
MSC10,10,0.18,0.28,0.23,2,0,0.59,611.17,24.7,0.959,25.243,0.005,0.01,0.002,26.259,4.523,0.396,0.585,0.637,0.241,0.379,208.916,462.162,68.502,1975.81,2986.78,702.571
MSC10,10,0.28,0.55,0.415,2,0,4.65,3190.43,27.5,0.904,720.863,0.087,0.021,0.001,490.888,13.532,21.337,13.285,0.741,8.793,0.549,627.721,688.307,77.502,2310.745,2926.298,2998.987
MSC11,11,0,0.25,0.125,2,0,0.3,575.43,27.4,1.19,40.676,0.013,0.023,0.021,70.412,1.142,0.107,0.273,0.245,0.048,0.089,10.253,39.484,98.091,380.695,514.342,126.799
MSC11,11,0.25,0.5,0.375,2,0,0.16,460.82,31.4,1.39,32.988,0.073,0.016,0.01,4.995,0.296,0.09,0.217,0.268,0.03,0.181,7.167,48.815,47.411,467.554,664.15,134.693
MSC12,12,0,0.16,0.08,2,0,0.01,103.27,16.8,0.503,34.985,0.006,0.02,0.038,41.801,2.764,0.034,0.166,0.459,0.016,0.208,50.316,43.497,107.29,110.574,330.696,19.004
MSC12,12,0.16,0.4,0.28,2,0,0.01,86.69,5.05,0.161,14.568,0.004,0.016,0.018,14.362,0.305,0.023,0.065,0.158,0.007,0.095,9.378,13.019,19.608,83.776,90.48,34.395
MSC13,13,0,0.05,0.025,2,0.01,0.02,57.51,3.03,0.162,7.16,0.02,0.037,0.02,7.68,0.239,0.015,0.056,0.448,0.011,0.274,19.955,15.166,25.691,54.74,43.929,30.572
MSC13,13,0.05,0.21,0.13,2,0,0.01,17.78,0.551,0.026,5.306,0.014,0.024,0.025,7.115,0.025,0.008,0.014,0.15,0.003,0.115,3.593,4.044,4.681,45.017,35.341,2.422
